group_size,meetings_per_week,prog_skill,Is_finished
2,5,Medium,1
2,2,High,1
2,1,Medium,1
2,4,Low,0
4,0,Low,0
4,2,Medium,1
3,0,High,1
2,2,Low,0
3,4,Medium,1
3,0,Low,0
2,3,Medium,1
3,5,High,1
3,5,High,1
3,2,Low,1
3,3,Medium,1
2,0,Low,0
3,3,Medium,1
3,3,Medium,1
3,0,Low,0
4,4,Low,0
3,3,Medium,1
2,3,High,1
2,4,High,1
3,3,Low,0
2,3,High,1
3,3,Medium,1
4,5,Medium,1
3,1,High,1
3,4,High,1
3,3,High,1
3,5,Medium,1
3,4,Medium,1
4,2,High,1
3,2,Low,0
4,3,Medium,1
4,5,Medium,1
2,5,Medium,1
2,4,Low,0
2,4,Low,0
2,5,High,1
2,4,Low,0
3,5,Medium,1
2,1,Low,0
3,5,Low,1
4,2,Low,0
2,4,Low,0
4,5,High,1
3,5,Low,1
2,4,High,1
3,1,Medium,1
3,1,Medium,1
4,4,Medium,1
4,0,Medium,0
4,4,High,1
3,4,Low,1
2,1,Medium,0
4,1,High,0
4,4,High,1
4,4,High,1
3,4,Medium,1
3,1,High,1
4,4,Medium,1
3,4,Medium,1
4,3,Low,1
4,0,Medium,0
3,2,Low,0
4,0,Medium,0
4,3,High,1
2,2,Low,0
4,4,Low,1
3,3,Low,0
4,4,High,1
3,1,Medium,0
4,5,Medium,1
3,3,High,1
2,1,High,1
4,3,Medium,1
2,3,Medium,1
3,1,High,1
4,2,Medium,1
4,0,Low,0
3,4,High,1
3,3,Medium,1
3,4,Low,1
3,5,Medium,1
3,1,Low,0
3,4,Low,1
4,1,High,0
4,4,Low,1
4,0,Medium,0
2,0,Medium,1
3,0,Low,0
2,0,High,0
3,0,Low,0
3,0,Medium,0
4,1,Medium,0
3,3,Low,1
2,4,Low,0
2,0,High,1
4,1,High,0
3,1,Low,0
2,1,Medium,0
2,3,High,1
4,4,High,1
2,3,Medium,1
4,2,Medium,1
4,1,Medium,0
2,2,High,1
2,5,High,1
4,0,Low,0
3,0,Medium,0
3,3,High,1
4,4,High,1
4,2,High,1
4,4,High,1
4,3,Medium,1
3,0,Medium,1
2,4,Medium,1
4,4,Low,1
3,0,Medium,1
3,2,High,1
4,0,Low,0
2,4,High,1
3,2,Medium,1
2,2,High,0
3,0,Low,0
2,4,Low,0
2,3,Medium,1
2,4,Low,0
3,1,High,1
4,5,High,1
3,3,Low,0
4,2,Medium,1
3,3,Medium,1
3,2,Medium,1
4,2,High,1
3,3,High,1
4,2,Medium,1
2,2,High,1
4,1,Medium,0
2,4,High,1
4,4,Medium,1
3,5,High,1
4,5,High,1
2,1,Low,0
3,5,High,1
4,3,Low,0
3,0,Medium,1
3,0,Medium,1
3,0,High,1
3,1,High,1
3,1,High,1
3,2,High,1
4,0,Medium,0
2,3,High,1
3,5,Medium,1
4,3,Medium,0
4,5,Low,0
3,0,High,1
3,0,High,1
3,0,Medium,1
2,1,Low,0
3,5,High,1
3,1,Low,0
3,1,High,1
2,4,High,1
4,3,Medium,1
4,3,Low,0
3,2,High,1
3,1,High,1
3,5,Medium,1
4,4,High,1
3,4,Low,1
2,3,Medium,1
4,1,High,0
4,2,High,1
4,1,Low,0
4,0,High,0
3,1,Medium,1
3,0,Medium,1
4,0,Low,0
4,2,High,1
2,5,Low,0
2,3,Medium,1
3,1,Low,0
4,0,High,0
4,1,Medium,0
2,5,High,1
3,3,Low,1
3,5,Medium,1
4,3,Medium,1
4,4,High,1
4,3,High,1
3,2,Low,0
3,5,Medium,1
3,0,Low,1
2,4,Medium,1
4,2,Low,0
4,1,Medium,0
4,5,Medium,1
4,0,Medium,0
3,3,Medium,1
4,0,High,0
4,1,Medium,0
4,4,Low,1
3,4,High,1
3,5,Low,1
2,4,Medium,1
4,5,Medium,1
3,5,Medium,1
3,5,Low,1
3,3,Medium,1
3,2,High,1
3,5,Medium,1
2,5,Medium,1
3,2,Medium,1
3,0,Low,0
4,5,Medium,1
3,3,High,1
4,4,Low,1
3,4,Low,1
3,1,Low,0
4,1,Medium,0
3,4,High,1
2,4,Low,0
2,3,Medium,1
4,2,Low,0
3,1,High,1
4,2,Low,0
3,3,Medium,1
2,4,High,1
2,5,High,1
3,2,Medium,1
3,4,Medium,1
3,4,Medium,1
3,0,Low,0
4,2,Low,1
3,5,Medium,1
3,2,Low,0
4,4,Low,0
3,5,Medium,1
3,3,High,1
4,0,Medium,0
4,4,Low,0
2,1,Low,0
4,1,High,1
3,0,Low,0
3,3,Low,1
3,4,Medium,1
4,2,Medium,1
3,0,Medium,0
3,3,Low,0
3,2,Low,0
3,1,High,1
2,1,Low,0
2,2,Medium,0
2,0,High,1
2,1,Medium,1
2,4,Medium,1
3,5,Low,1
2,2,Medium,0
3,2,High,1
4,1,High,0
3,0,Low,0
3,4,Low,0
2,0,High,1
2,3,High,1
2,3,High,1
2,5,Low,0
3,1,Medium,0
2,1,High,1
2,1,Medium,1
2,5,Medium,1
3,3,Low,1
3,0,Medium,1
3,5,Low,1
3,5,Medium,1
3,0,High,1
2,1,Medium,1
4,4,High,1
3,0,Low,0
2,3,Medium,1
4,2,High,1
4,2,Low,0
2,5,Low,0
3,2,Medium,1
4,4,Low,1
4,1,High,0
2,3,High,1
3,4,Medium,1
3,3,Low,0
3,3,Medium,1
3,1,High,1
3,5,Low,1
3,2,Medium,0
4,1,Medium,0
2,4,Medium,1
3,5,Low,1
4,4,High,1
4,5,Low,1
3,4,Low,1
3,1,High,1
2,5,High,1
3,5,Low,1
3,3,Low,1
3,3,Low,0
3,0,Low,0
3,4,Low,1
2,3,Low,0
3,0,Medium,1
3,3,High,1
3,4,Medium,1
2,5,Medium,1
4,2,Low,0
3,4,High,1
3,1,High,1
4,3,High,1
3,3,High,1
2,5,High,1
3,1,Medium,0
3,5,Low,1
4,1,Medium,0
3,2,High,1
2,3,High,1
3,3,Medium,1
3,2,Low,1
3,0,Medium,1
3,5,High,1
3,2,Medium,1
4,5,Medium,1
3,4,Low,1
3,3,Medium,1
2,5,High,1
2,1,Medium,0
3,5,High,1
2,4,Medium,1
2,3,Medium,1
3,2,Low,1
2,4,High,1
4,3,Medium,1
2,5,Medium,1
3,0,Medium,0
3,0,High,1
4,1,Low,0
2,3,High,1
3,0,Low,0
4,2,Medium,1
4,3,Low,0
4,2,Medium,1
3,2,Medium,1
2,0,Low,0
3,3,Medium,1
4,5,High,1
3,4,Low,0
3,0,High,1
3,0,Medium,1
4,5,Medium,1
2,3,Low,0
3,3,Low,0
3,2,Low,0
3,5,Low,1
3,5,Low,1
2,3,Medium,1
3,2,High,1
3,0,High,1
3,1,Medium,1
2,4,Low,0
3,0,Low,0
3,3,Medium,1
2,4,Low,0
3,1,Medium,0
2,1,Medium,0
2,2,Medium,1
4,4,Medium,1
3,2,High,1
4,0,High,1
3,5,Medium,1
3,5,High,1
4,5,High,1
3,4,Medium,1
3,5,Medium,1
3,0,Medium,1
3,2,High,1
4,4,High,1
4,2,Low,0
4,4,Medium,0
2,2,Medium,1
4,1,Medium,0
4,2,Low,0
2,5,High,1
2,1,Medium,0
4,2,High,1
3,4,High,1
4,4,High,1
2,4,Medium,1
4,3,Medium,1
3,0,Low,0
2,4,Medium,1
2,1,Low,0
4,4,Medium,1
3,3,Low,1
3,5,Low,1
3,1,Low,0
4,3,Low,1
3,5,High,1
4,1,High,1
3,2,Medium,1
3,0,Low,0
3,0,Low,0
3,3,Low,1
4,5,Low,1
3,0,High,1
3,5,Low,1
4,5,Medium,1
3,3,Low,0
3,3,Low,1
4,3,Medium,1
3,0,Medium,0
2,3,Low,0
4,0,Low,0
3,3,Medium,1
3,4,Low,1
2,5,Low,0
4,3,High,1
3,1,Medium,1
3,5,Medium,1
4,5,Medium,1
4,3,Medium,1
2,2,Medium,1
3,3,Medium,0
3,5,High,1
4,1,Low,0
2,5,Medium,1
3,1,Medium,1
4,0,High,0
4,4,Medium,1
3,5,Medium,1
4,3,Low,0
2,0,Medium,0
4,4,Low,1
2,3,Medium,1
3,2,Low,1
4,3,Medium,1
2,1,Low,0
3,1,Medium,1
4,2,High,0
4,0,Low,0
3,4,Medium,0
3,3,Medium,1
3,1,Low,0
3,0,High,1
3,2,Low,1
2,5,Medium,1
4,1,Medium,0
3,2,Medium,1
3,3,Medium,1
3,4,Low,1
4,1,Low,0
2,1,High,1
3,3,Medium,1
3,5,High,1
3,0,High,1
2,4,High,1
4,1,Medium,0
4,4,Medium,1
3,1,High,1
3,4,Medium,1
4,2,Low,0
4,1,High,0
2,4,High,1
3,0,Medium,0
3,2,Low,0
3,2,Medium,1
4,0,High,0
4,4,High,1
4,3,Low,0
3,0,Low,0
2,4,High,1
4,0,Medium,0
4,0,Medium,0
2,1,High,1
4,4,Low,1
4,3,Medium,1
3,1,Low,0
3,0,Medium,0
3,5,High,1
2,0,Medium,0
3,0,High,1
4,4,Medium,1
2,4,Medium,1
3,1,Low,1
3,3,Medium,1
3,1,Medium,1
4,2,Low,1
3,0,Medium,0
3,5,Medium,1
4,0,High,0
3,0,Medium,1
3,1,High,1
3,5,Low,1
2,5,Low,0
2,5,Medium,1
3,1,Medium,0
3,0,Low,0
4,1,High,1
3,4,High,1
3,4,Medium,1
3,1,Low,0
2,5,High,1
3,0,Medium,0
2,1,High,1
4,1,High,0
2,1,High,1
3,2,Medium,1
2,4,Low,0
4,5,Medium,1
3,3,Medium,1
3,5,High,1
2,3,Low,0
4,2,Low,0
3,1,High,1
4,2,High,1
3,2,High,1
2,0,High,1
2,4,Medium,1
3,3,Medium,1
3,1,High,1
2,3,Medium,0
4,5,Medium,1
3,3,Low,1
3,5,Medium,1
3,4,High,1
3,5,Low,0
3,3,Low,1
2,3,Medium,1
2,5,Low,0
4,2,Low,1
4,4,Medium,1
3,0,High,1
3,1,Medium,1
3,3,Low,0
3,1,Low,0
2,0,Medium,0
2,1,Medium,1
4,0,High,0
3,5,Medium,1
2,2,High,1
3,3,Low,0
3,0,Medium,0
3,1,Low,0
2,3,High,1
2,2,Medium,1
4,5,Medium,1
2,3,Low,0
3,0,Low,0
3,2,Medium,1
2,1,Low,0
3,2,Medium,1
4,2,Low,0
4,4,Medium,1
4,2,High,1
3,2,High,1
3,3,High,1
3,1,Low,0
3,3,Low,1
4,3,Medium,1
2,0,Medium,0
2,3,Medium,1
3,4,Low,1
2,4,Low,0
2,0,Low,0
3,5,High,1
3,1,Low,0
4,1,Medium,0
4,3,Low,0
3,3,Medium,1
3,5,Medium,1
3,3,High,1
3,1,High,1
3,2,Medium,1
3,4,High,1
3,2,High,1
3,2,High,1
3,1,High,1
3,2,Low,0
4,5,Medium,1
4,0,Low,0
2,3,Low,0
4,0,High,0
3,4,Medium,1
4,3,High,1
4,2,High,1
3,4,High,1
2,3,High,1
3,5,Low,1
3,5,Low,1
3,5,Medium,1
3,5,Low,1
2,2,Low,0
4,0,Medium,0
4,3,High,1
3,2,Medium,0
2,5,Medium,1
3,0,Medium,0
2,4,Low,0
4,4,Low,1
2,4,High,1
3,5,Medium,1
3,4,High,1
3,1,Low,1
3,3,High,1
4,3,Medium,1
3,5,Medium,1
2,1,Medium,0
2,2,High,1
4,2,Medium,0
4,4,Medium,1
3,0,High,1
3,2,High,1
3,0,Medium,0
2,3,High,1
4,0,Medium,0
3,3,Low,0
3,1,Medium,1
3,1,High,1
2,5,High,1
2,5,Medium,1
4,4,Medium,1
2,2,Low,0
3,4,High,1
3,3,High,1
3,4,Medium,1
3,0,High,1
3,3,High,1
4,5,Medium,1
3,1,Low,1
3,5,Medium,1
3,2,Medium,1
3,3,Medium,1
4,3,Medium,1
4,0,High,0
3,2,Low,1
2,1,Medium,0
3,3,Medium,1
3,3,Medium,1
2,0,Medium,1
3,4,Low,1
3,1,Low,0
3,5,Medium,1
4,2,Medium,0
2,3,Low,0
2,3,High,1
4,5,Medium,1
3,1,Medium,1
3,4,High,1
3,3,Low,1
3,1,Low,0
4,5,High,1
4,0,Medium,0
3,4,Medium,1
3,2,High,1
3,3,High,1
3,1,High,1
2,0,Medium,0
4,2,Medium,1
2,1,Medium,0
4,5,Medium,1
3,2,High,1

